ï»¿post,post-href,text
What is the direct path to enlightenment?,http://www.spiritualforums.com/vb/showthread.php?t=94272,"What is the Direct Path' in simple language?  I read on the forum that meditation is not necessary and one get enlightenment through the 'Direct Path'?



Is Direct Path better or meditation better?  What are the advantages and disadvantages of each?"
Meditating naked?,http://www.spiritualforums.com/vb/showthread.php?t=99455,"Has anyone tried this? I am trying it soon as I am more comfortable in the natural way.



I'd love some feedback, also I will give my feedback tomorrow.



Thanks!"
New thread! Let's get rid of the word meditation and it's concepts,http://www.spiritualforums.com/vb/showthread.php?t=97470,"So, how does that sound...?



I have been reading around in different threads and there seems to be a

a recurring 'issue'.

Hard to stop thoughts

Distracted

Lack of success, whatever.



NOW, what if you tossed that entire word and at the beginning... you 'sat'.

That's all...comfortably sat, still, quietly for a certain amount of time?

And them, threw out all concepts of mindlessness, mindfulness, emptiness and samadhi?



So let's say for a month you sat in the darkness and stillness of being undisturbed...to enjoy thought.



Thought about wondrous things...thinking 'a movie scene' for 30 minutes.



About....love...$$...travel...a new baby...happiness in everything...confidence and freedom....



What does that mean? You have enjoyed yourself, changed your chemistry, 

relaxed every system in your body...and MADE A NEW GROOVE in your brain...of Joy!



One month...then let's talk about this 'emptying'...and a

 successful meditation...hahahha!"
Entering into the Sacred Space within the Heart,http://www.spiritualforums.com/vb/showthread.php?t=93427,"I am wondering, if anyone is familiar with this meditation by Drunvalo Melcizhedek. Whether you know him or not is not really important, though I am also interested is what those that know him, think of him. I did follow him, and read some of his books some time ago, and the written material felt o.k. I also watched some of his live shows which were good, but after some time, I felt something bugging me with him. It was hard to explain you know, just the feeling, which for the most part is good to listen too.



Anyways this thread is mostly about the meditation, and if someone got any experience with it? I read this meditation when I was about 16 years old and also tried it back then with no success. I tried various times but not enough to really succeed. 



You can find meditation on youtube if you search with the name of the thread.



To sum it up quickly, there is a certain space within everyone's heart, that is not a heart chakra. This space is I believe created by the hearts magnetic field, and is completely personal to your own being. When you enter it, you literally leave this world and you are consciously in that space. When you first enter it, you should find your self in some enclosed place, which is in a way your own creation and contains information about your true self. After going into that place many times, a way will present itself to leave it, and you can then enter the whole world outside which is also your own creation. Drunvalo always said, that there is an entire universe inside that space, and that the stars are the same as in real universe. In order to achieve that there are 3 basic steps;



-connecting with mother Earth and feeling absolute love-

-moving your point of consciousness to the heart

-entering the sacred space via two separate methods.



So, anyone that experienced it, please share your experiences and thoughts =) Thanks!"
Only 80% thoughts gone after enlightenment?,http://www.spiritualforums.com/vb/showthread.php?t=93486,"Eckhart Tolle said in one of his youtube videos that only 80% of his thoughts were gone after enlightenment. I thought after reaching this state, that thoughts were meant to be gone completely.   



Could somebody explain this one to me."
Wife death,http://www.spiritualforums.com/vb/showthread.php?t=100664,I am a emotional wreck because of it. I need mental health. How long will I suffer over it? Curious-One
Meditation session turned to self-hypnosis?,http://www.spiritualforums.com/vb/showthread.php?t=59532,"I don't want this to sound Ã_ber foolish, but I think I somehow hypnotize myself every time I try to meditate. I mean, I don't know what I do, but I'm pretty sure it's not meditation. Any thoughts or suggestions? Like I said, I don't know if this sounds ridiculous.



 



L"
Why does singing hurt my brain?,http://www.spiritualforums.com/vb/showthread.php?t=99330,"I tried to sing this morning, but it hurt my head, so I could not.  Is my spiritual path or my meditaiton responbile for this?  Maybe singing brings up strong emotions, which is something my mind can not handle because meditaiton has changed my mind drastically."
"Seeing ""pin pricks"" of light",http://www.spiritualforums.com/vb/showthread.php?t=97230,"I've started practicing meditation while I'm laying down in bed before sleeping and I've been seeing ""pin pricks"" of light. It's almost like being in space and seeing the stars except the lights are not as bright. When I see these lights some of them move, zipping around, etc. Some lights are erratic while others move slower. I feel this sensation these things have life essence, or something, but the logical part of my mind wants to dismiss it as hallucination. When I go deeper into meditation I begin to see more and more of these lights, then the experience overwhelms me and I snap out of it. If I try to force the experience I can't see these lights, it's only when I'm relaxed and let the logical part of my mind surrender to the spirit. 



Has anyone else experienced this during meditative states? This is completely new to me."
What I've learned by meditating daily,http://www.spiritualforums.com/vb/showthread.php?t=99470,"What I have found after so many years of mediation is that the fear is gone. I can really say that the fears that I used to have are all gone. Being an empathic I never knew why I was feeling bad of sad or whatever and by meditating I know my energy and what is from someone else. Mediation has led me to think about everything and I have changed everything in my life. From thinking about food choices to Yoga practice and everything in between. I can tell you that when my heart chakra opened is the moment that the meditations went to a whole new level. I raised my vibration high enough to be able to have contact with my guide. What I have also found is that when I read something that is from someone writing from there heart I feel it. When someone is telling the truth I feel it. When I read something or hear someone talking from there head it doesnâ€™t feel right and I let it go for what it is an opinion. This is also a way that spirit talks to us.

My advice to anyone trying to raise their vibration in the meditation is to try thinking of something or someone that they really Love and with that â€œLove feelingâ€ù start to float up and just keep floating and try to stay in that feeling during the meditation. Itâ€™s the real deal.

Thatâ€™s where that magic happens. has anyone else experienced this?

Happy meditations

Joe"
Meditation and science,http://www.spiritualforums.com/vb/showthread.php?t=88217,"Hi all, 

    As an old ""hippy"", it's been a lifelong search for me to become more enlightened. There are many well intentioned methods, and a few questionable ones, but very few places to verify their efficacy. Was taught as kid that only results you achieve via hard work and struggle, should mean anything.

    Please don't get me wrong, I've never shied away from hard work to achieve my goals, but if a method shows up that will get great results and does not require 20 years of effort, count me in. 

    So my question is: How can a conversation about the ability of frequencies being applied to our brains that result in a 20 year shortcut to improved spiritual awakenings be started? WITHOUT offending someone who has put in a lifetime of hard work, but could also result in the acceptance of scientific methods? 

     The comparison between 2 people driving down a highway with 1 using cruise control and a GPS device versus the use of the constant application of pressure to the gas pedal while fumbling with a map seems to fit. Both will get to their destination, but who will be ready sooner to move further ahead?

     This site is the only place I have found where this conversation could happen with a greater chance for science and spirituality to move closer together for a beneficial result.

     Peace to all y'all"
Incessant yawning,http://www.spiritualforums.com/vb/showthread.php?t=83866,"Hello everyone!

I have a question as ive been having a problem with meditating lately....

I'm not new to meditation , ive been doing it for three years.

But lately ive been having a problem.

When ive tried to meditate, I start to yawn , and yeah non stop.

It's not that I'm sleepy , becuase before and after my attempt ...I don't yawn at all....

The issue is it distracts me severly during meditation, basically ruins it for me.....and I wonder from you all what it could be 



And also ive had this happen in mediating in th e middle of the day so it cannot be sleepiness ......

Any insight would be appreciated"
A silly question of Zen,http://www.spiritualforums.com/vb/showthread.php?t=13771,"I have meditated and taught meditation in many forms but Zen as easy as it sounded to me at first seems to be escaping me. It's such a typical question I am sure but how do I know if I have reached it (even for a brief second)?



I am ashamed to say I feel like I am failing though I am sure that's a label I am placing on myself"
Advice much appreciated,http://www.spiritualforums.com/vb/showthread.php?t=59586,I posted about some evp but I think in the wrong thread I'm new so hi! To cut a long story short I caught evp in a haunted building. All very clear and all taking to me. Even used my full name ! One wanted me to call the house home and stay and help. Others said that I was the active one and the key to them.the voice that said this sounded like she was a teacher she was clear and kept repeating as if she knew the message needed to get to me When I discovered only a week later that a lady I worked with was able to hear spirits she told me to use light and love and speak out whist meditating. I've never meditated before but when I had a quiet moment I relaxed and tried it out. I was amazed how fast my eyes became fluttery and I started to image things. I was I a garden and saw a large puma like cat that looked fierce but as it approached it changed and It sat beside me. Then I asked out if I had a guide. I felt my finger prickly like it had been touched then I pressed record on my phone. Anyway I discovered I had two answers one was whispered and in real time. The other was one audible when slowed down and sounded like the teacher woman from the evp. Have I met my guide? After this I got several things that scared me. One was my laptop recorded a message by itself and my tv had a whispered voice on it. Both were not really scary but I think it freaked me out because I wasn't expecting it. I asked it to stop and it did. But now I feel like this is something pretty special as I've never done this before and it's like I've opened up to something with an ease I've not known of. Should I continue to work on this? Do you think it's meant that they want me to do this? They haven't even tried to hide that they contacted me via my tele. It was infront of my previously sceptic partner! I want to learn about chakras and try meditating again but as I'm new to it I'm a bit fearful of what I'm getting into. All I know is that I'm a real lover of nature and life anyway so it kind of feels it's meant. Could I be getting into trouble or is this something I should allow to happen. I'm of strong sound mind ... Well until my tv spoke to me
Meditation And How To Stop Your Thoughts.,http://www.spiritualforums.com/vb/showthread.php?t=100699,"Now, it is suggested that words, analyzation and thought activity relates to the left side of the brain.  That if you have difficulty in stopping your thoughts, you can simply meditate, watching your breath go in and out and listening to the breath as it goes in and out, and in this manner you may stop the thought.



That as long as youâ€™re focused on a sound, such as the sound of your breath moving in and out, thought does not particularly enter the mind or does not need to enter the mind. And that if you are having trouble contacting the right brain, simply start watching your breath, listening to the breath, and stop thinking words, and the right brain will begin to function at that time.



Practicing this on a daily basis through meditation ( which means total and complete focus) and then through continued meditation, even as you move around your home or do things, so that words are not going through the left brain, this can help you to experience more right brain activity, even in your mundane activities.



One must understand that the right brain does not think words or thoughts as does the left brain, so that you do not receive thoughts out of the right brain and therefore, you may think that it is not working when in fact it may be working quite well in the silence that it emits.







In Light & Peace    Taoist









Please feel free to offer your queries or personal experiences.



Thank you for your input."
Free Open Heart Meditationpdf- new link,http://www.spiritualforums.com/vb/showthread.php?t=84118,"http://www.openheartmeditation.org/d...ion_Script.pdf



i couldn't update the original thread, so here's the new link instead.



""We are meant to be Happy""



...Some of us have long asked why we cannot hold on to happiness. For all of the scholarship and human insights across the centuries, nobody has found a complete and enduring answer. Perhaps because it has been too close to seeâ€_



The answer, the key, is our heart. 



By Irmansyah Effendi"
"Lessons from Spirit, Meditation experiences, teaching, lessons, & Messages",http://www.spiritualforums.com/vb/showthread.php?t=99973,"Hi,



 I've had many intense teachings from Spirit while in meditation and I wanted to have a place to share some of these experiences.  In my other posts I've talked about how I meditate and my story but here I just want to share some of the things that have come up.  Please share your experiences as well! 



One of my most  intense meditations was all about energy.   It was incredible!  The words that I'm using to explain this are no match to what actually happened. But I will attemptâ€_  



I was laying down in this meditation with my eyes closed breathing in and out from my lower Dantian.  Next thing I knew,  I could see all these different yin/yang symbols floating around my body.  My eyes were still closed but I was seeing everything using my third eye.   Each of these yin/yang  symbols represented (I'm guessing) an acupuncture point.  Each symbol was  spinning. Some symbols were spinning fast and some spinning slow.   Spirit was trying tell me which parts of my body were in balance in which parts were not aligned properly.  These symbols represented  chi energy all over my body.  After that, I started looking more outside of myself and noticed  Yin/Yang  symbols in the air and all over my room. It was one of the most amazing things I've ever witnessed.  It made me realize that I am living in a field of source energy. My energy is affected by other energy around me and I can affect others energy as well.  There was much more to this message but it's just so hard to explain. Some symbols were bigger than others, some symbols were rocking out of balance, some symbols were smoothly spinning,  I could balance symbols when I put my attention to it, It was like a whole other world. It also allowed me to realize our oneness. 



Please let me know if any of this makes sense to anyone and or if anyone has had this happen to them before.  I wish I could explain it more clearly but it could be something you just have to experience to understand. Let me know your feedback. Thanks!"
Poem about Insomnia & Meditation,http://www.spiritualforums.com/vb/showthread.php?t=98818,"https://docs.google.com/document/d/1...it?usp=sharing



One of my friends claims he uses a specific state of meditation to get the same  ""restorative"" quality of sleep. I am jealous."
I had this experience...,http://www.spiritualforums.com/vb/showthread.php?t=59704,I lay down while meditating and last night I had experienced that I use to experience while I was a young girl. It was a tingling sensation on the back of my head but it traveled down my back but it had gotten stronger so strong I was jumping and jumping it felt like someone had took a finger nail and was going down my back. First time while meditating I had experienced this but I use trouble when I was a little girl when I would see things in my room I would feel the same exact thing that would make me jump. Can someone explain please thanks and blessings.
Meditation on death,http://www.spiritualforums.com/vb/showthread.php?t=93586,"If enlightenment gets rid of the fear of death, then why do Buddhists practice meditation on death?"
Never meditated before.,http://www.spiritualforums.com/vb/showthread.php?t=13925,"Well, ive never meditated be4.Sme of us(in the country whr i stay) just read about these things.Do i wan try it, yes most defnately be4 i pass.Are we missing too much, maybe,,,,but hey dnt pity me, my life is prtty awesome."
Can't feel emotional pain because of meditation,http://www.spiritualforums.com/vb/showthread.php?t=98134,"I can't feel emotional pain now because of the meditation, is that a good thing or a bad thing?  



When I see suffering now, I do not want it of course, but I do not get emotional about it, like I use to before. Sometimes, I do want to feel the emotional pain, but I can't because my mind will not let me."
