ï»¿post,post-href,text
yes but.....,https://www.suicideforum.com/community/threads/yes-but.122659/,"there is,

yes,

maybe,

 no!

 and there is leave me the eff alone. 

I have a great family, but one that crawls under my skin. 

tells me to lose her number. a few months later your all I have/had I want us to be OK and be family again. 

other words in my dictionary

avoid, make excuses, lie."
Bad day,https://www.suicideforum.com/community/threads/bad-day.122599/,"actually bad week, I just need to vent. I'm so tired of this depression and anxiety, I felt good for awhile then I wake up one morning back to square one.  Dark depression and anxiety to the point I don't want to leave the house and can't get anything done. I wish I were normal, when I look at the problems ""normal "" people have I'm envious, some of them are laughable. They would probably think my irrational fears are laughable too. That's what makes it so damn frustrating, there's nothing outside to be afraid of (except a public panic attack) I'm tired of no motivation, everything looks/feels empty and futile, the same idiotic daily grind day in day out. I'm sure it'll pass......sooner or later.....sooner I hope. I know there's no answers, just wanted to complain with a post. I hope everyone is doing better than I am today, you're all good people and I'm sorry you suffer this curse of depression/anxiety and all the other mental tortures that have descended on you.

Love you, bless you, 

Brian"
No replies necessary,https://www.suicideforum.com/community/threads/no-replies-necessary.122638/,"I went into a crisis center on Friday afternoon and spent two hours talking to a therapist.  I told her if she started to write an m1 hold I would leave at the start of our session.



 She was the best therapist I have had since seeking treatment.  She was angry that I had talked my way out holds in mid-march.  She told me my charm and the kindness of therapists was not helpful for me.



She was too good.  Always had a counter argument, outmaneuvered me consistently, forced me to see how damaging my own words were.  She broke me down.  



She wrote the hold and I eventually left before police could arrive to stop me. 



 She told me multiple times that I need time for myself, that I was not getting better and should allow others to care for me for a little while.  I was terrified at the thought.



Right now I am unstable after a better day Saturday.  I won't have anyone to talk to, maybe for awhile which is the main cause.  Future worry but I know how I get when there are gaps in therapy. Hell I'm not doing so great right now.  



The weird thing is that I work in mental health.  I see therapists, nurses and prescribers every day.  But I also have lots of conflict due to some of these people being aware that I am in treatment.  That also creates anxiety due to privacy concerns.  



This therapist called my office today and even though she did not say it, I know she recognized my voice.  



Ive been tearing up at my desk for hours now.  This lack of anonymity, along with the reasons I went into that specific crisis center are making me feel panicked.  



I need to talk but Tuesday may be the earliest I will see my current T. 



That's as much as I write for now and I hope it is enough"
"Oops, I Manipulated Someone",https://www.suicideforum.com/community/threads/oops-i-manipulated-someone.121864/,"Recently, I was conversing with a friend of mine. She had been committing self-harm, and I had been trying to talk her out of it. Eventually, she realised what she was doing wasn't the way to go about things (not a serious case, this was simply a teenage drama, so it was quite easy to push her through).



I get the bus home, I'm feeling good, I go up into my room and started vibing to some Gorillaz, then I get a text.



""I hate you""

""What?""

""It just sunk in""

""Still confused""

""You're hideous Matthew""

""I mean, yeah, but can you tell me what's up?""

""Stop!""

""Did your boyfriend (yes, she had a ""boyfriend"", as much as you can have one at my age, pathetic really) show you a picture of me killing a puppy or something? I can assure you, I only eat the ones from the butchers""

""SHUT UP!""



So I did just that, i shut up.



As you can probably tell, I was pretty weirded out, she'd seemed fine no more than 5 minutes ago... What had got her panties in a twist. Low and behold, no less than 30 seconds after putting my phone down, I get a call.



I hear a gruff, male voice on the other side of the phone.



""Hello,is this Matthew Barbara? (yes, he said barbara)""

""No, it's his cousin Steve""

He paused for a bit, ok, so he wasn't that much of a worry intelectually.

""Don't play your games with me kid. I know what's going on.""

""Sorry sir, but I have no idea what you're talking about.""

""I know what you've been doing, kid. You've been head****ing my daughter!""

""Uh. sir-""

""STOP HEAD****ING MY DAUGHTER!""

I heard crying in the background.

""Have a good day you manipulative little freak!""



It's now been a week, and I haven't seen this friend anywhere, they don't answer their phone, every contact I had with her has been blocked. And now I'm kind of like.



Whoops"
Stupid,https://www.suicideforum.com/community/threads/stupid.122569/,"I am sitting at my desk trying to calm myself down and hating myself for being STUPID. And normally when I say stupid I am talking about some emotionally driven decision or action - and I am that kind of stupid on an almost perpetual basis. I have basically come to terms with being 'that kind of stupid'.



The kind of stupid that reduces me to tears of frustration and self loathing is the ""HOW CAN YOU NOT FUCKING GET THIS?!"" kind of stupid. Usually involving some kind of math/data. I hate that I can't work it out for myself - I HATE that I don't get it when someone explains it to me and it still makes no sense and I really really hate it when I make the person that is trying to so frustrated and annoyed with me for NOT getting it that they tell me I ""don't need to understand it - I just need to do it"".



So if I have something that costs Â£35 and I want to make a 65% margin I need to take my Â£35 and divide it by 0.35. Â£35/0.35 = Â£100. Fine. But if I sell it for Â£70 I have made 100% profit. My MD tells me that GP (gross profit) is the SAME as margin. How can that be true. If my profit is 100% but my margin in that instance would be 50%???



I am not really expecting anyone to explain this to me - apparently I am far too fucking stupid to understand if you try. Believe me, people have tried. I just really needed to vent before I cry at my desk."
My best friend,https://www.suicideforum.com/community/threads/my-best-friend.122325/,"I first met my best friend in... I think it was 2005.  She was the new kid nobody knew and I was the weird kid nobody liked, so we were pretty much destined to pair up on the first project of the school year.  We hit it off pretty much right away and were best friends throughout middle school until she moved about 350 miles away from where I lived at the time.



We remained best friends through high school by texting, connecting on Facebook and writing each other long letters.  She occasionally came to visit my hometown with her family.  I'd see her at those times.  Through most of my rocky college experience leading up to my move, we stayed close (although I felt reluctant to tell her about depression and suicidal feelings like I did before.)  That was when things changed.



When I was planning my move to San Francisco, I was really nervous.  This was a huge step in my life, and I wanted her to know about it.  So I texted her about it.  I didn't tell her specifically to keep it a secret, but it was kind of a given, considering the things I mentioned about my parents.



I don't remember how long after that the next part happened, but it couldn't have been more than a few days.  My parents received a phone call at approximately 11pm, maybe later.  I knew something was wrong right away.  My parents told me the next morning that it had been my best friend's mom saying that my best friend had told her I was planning something drastic.  My parents asked me a few things.  I confirmed nothing and denied suicide plans.  Later I found out my parents had lied and knew of my upcoming move.  I asked my best friend about it and she said her mom must have gone through her phone.  I found out she'd lied too, and she said she wasn't sorry.



We stopped talking after that for a while until my counselor at the residential treatment program encouraged me to forgive her.  Things were a little rocky at first, but we got back to being best friends soon enough.  Now I'm struggling in my relationship with her again.



She's just so busy, she hardly has time to talk to me.  I find it hard not to be upset at that.  (Even though I know it's not really her fault.)  Plus there's at least one other person she calls her ""best friend"".  It might seem silly, but I sometimes feel slighted when I see that on Facebook.  I feel like maybe we could grow apart and I don't want that to happen.  Sometimes I feel like she's only tolerating me, but that's probably just my low self-esteem talking...



I'm going to be moving within 300 miles of where she is soon, but I get the feeling that no matter how close I get she'll still have trouble finding time to see me."
nothing,https://www.suicideforum.com/community/threads/nothing.122395/,"i feel like garbage, trash, a big pile of nothing. I am no good. I am pathetic and don't even stand up to my own core principles. I am nothing, when I look in the mirror I see an empty husk who is nothing.



What could I do to feel better? I'm tired of feeling this way. It hurts."
yo,https://www.suicideforum.com/community/threads/yo.122396/,what the fuck is wrong with you!!
Cause the toy wasn't real,https://www.suicideforum.com/community/threads/cause-the-toy-wasnt-real.121965/,"I use to come on here all the time , I don't know what trigger me to come back. I'm doing fairly well . I suppose it's cause Easter just passed .. I hate Easter .. It was the last time I saw my father .. 33yrs ago so not like this just happened but , he kidnapped me and quickly got caught which lead to several events and 2 yrs later he took his life . Here's what is bothering me the most . All my life I remember that day with him bringing me a present , this pink huge crayola crayon holder thing .. The toy doesn't exist . I can see it in my memory I can see it on the rug clear as day , my mom went along with me all these years talking about this dumb thing , but there's no toy . He brought me nothing.  I always had it in my head that he came with this grand toy and took me  kidnapped me because, well , he loved me so much .. But he took me to his house , where he would easily be found. He took me to hurt my mother . None of it was about me . My last memory of my father , was all a lie .



Sorry if this wasn't the right place for this . I just needed to get this out somewhere . But not to people that know me ..."
A few frustrating days,https://www.suicideforum.com/community/threads/a-few-frustrating-days.122436/,"Just venting - 



I'm easily pushed over my tolerance levels anymore.  I'm trying to get better and I am, but sometimes things can send me into an anxiety-filled frenzy that is difficult to come out of.  It can feel like it won't end.



Once the anxiety raises then all else spirals.  Triggers come unexpectedly and without me knowing what or why.



And times like this, I feel alone and sad and pathetic.  It is exhausting.  And all of this I would like to end.



That's all.









""Why didn't you tell anyone?""

 ""No one asked""."
