•ÈÀpost,post-href,text
I'm in so much turmoil & the pain is horrendous,https://www.suicideforum.com/community/threads/im-in-so-much-turmoil-the-pain-is-horrendous.122120/,"I have such up and down emotions about my wife.

I can get to thinking that I need to improve myself  and let her see I'm strong & confident so she finds me hopefully attractive again, then I can seconds later think it's all hopeless & I have to do away with myself as I can't cope with the pain of not being with her.

My latest thought is that I would have to literally move to the other side of the country to try to forget her as being where I am just constantly reminds me of her.

All my family & kids are here but that doesn't make the slightest difference in my mind.

I'm so wrapped up in my wife that nothing else seems to matter.

I have never felt so bad in all my life.

I actually went to work today for the first time in 3 weeks, I was so messed up lately that I just went off for a week or so just to get away from it all.

I really don't think I can ever be normal again without her in my life.

I'm seeing the doctor tomorrow to see if he can change my meds as the last lot didn't do anything for me,

This whole situation has completely knocked the life out of me.

I'm so unhappy & miserable."
What will happen to me?,https://www.suicideforum.com/community/threads/what-will-happen-to-me.122131/,"I want to get help because of my suicidal thoughts. But whenever I mention feeling suicidal nobody thinks I will actually go through with it. This time I have a plan so I should really tell somebody before its too late. But they'll just tell my parents and that will be that. If not then I'm scared. I'm scared that they'll put me in some kind of mentally ill hospital or something and I'm not sure I like the sound of that. At all. What will people think of me? I'll miss so much school. I'll mess up so much. 



But I'm truly serious about this suicide attempt and when it gets to the day - will I pull through or give in? Because its not like being dead won't mess up everything anymore than getting help will. Does anyone know what will happen if I tell somebody about this? I'm so scared and I feel so alone with these feelings. I know my time is running out but while I'm in an okay place I don't want Tiger to end it early. I don't want to die but I'm being pushed into it by other sides of me. It feels like I'm being bullied by my own different ghosts. I don't know what to do."
i think I'm just too tired,https://www.suicideforum.com/community/threads/i-think-im-just-too-tired.122239/,I think I'm just too tired to keep going. I have so much pain psychological and physical. I read other posts and can relate so strongly to the unbearable pain and fatigue. I am of absolutely no use to anyone. What is the point? If you take away the emotion you wouldn't want someone in so much pain to have to continue. Surely no-one is expected to live with pain like this
"What is the point, really?",https://www.suicideforum.com/community/threads/what-is-the-point-really.121847/,"I'd like to unload a bit, if that's okay.  I'm about 2.5 years into a depression that feels like it's just taken over my life.  It sucks to put it mildly.   



I'm nearing my 40's and on the outside, have a good thing going on.  Married with 2 kids, nice house, good job etc etc.  It's on the inside where none of it feels good.  I've not been honest with myself all along.  



I've been married for 16+ years, and have come to realize that I got married because that's what I was ""supposed to do"".  Because I was afraid I'd not find better... so settled for good enough.  It's never been ideal and I've known that for a long time.  Before having kids, the thought ""I should get a divorce"" crossed my mind many times, yet I stayed.  When we had kids, I honestly thought it would make our relationship stronger, but instead my wife has become a great mom, and I feel like a shit dad and a worse husband.  To make it tougher, we've had our share of medical troubles with the kids, and I feel incapable of coping with these disappointments.



Over the years, sex & intimacy went from not-great, to worse, to nothing at all.   My outlet turned to self-gratification, which led to fantasies that are not the ""norm"".  I think my wife has an idea, but it's never been discussed.   It's like the elephant in the room (but it may be the elephant in my mind).  Eventually I cheated, thinking that it's not cheating if there's no sexual relationship that you're cheating on. WRONG, I cheated on my wife and hurt her.  I did it to make myself feel better, and it only made it worse.



Then there's a lack of out-of-marriage relationships.  Friendships.  I have a long pattern of losing friends... and eventually realized I no longer make new friends.  Frankly, I wouldn't want to be friends with me.  I have little to add of value.  I'm not interesting.  I even stopped drinking.   Despite those boo-hoo's,  I have an awful memory, which makes being a good friend possible.   Remember when???  Nope.  I do not.    The friends that I do have are work related or college friends who I see 1-2 times per year.  It's sad.  I don't have guys to get a drink with, watch the game with... nothing like that.  I am lonely   I chose work over friends... and now I'm left friendless.



Speaking of work, that too has become a huge stress.  I like my job.. but I've had it for 15+ years, and have realized many times over I should leave (sound familiar?)  but I stayed for the money.  Raises turned into a great salary that my lifestyle now depends on.  I can't make less but I make more than I deserve (and could make elsewhere).  We have a single income home (no pressure there), and I spend everything I make.  OVEREXTENDED  The problem is I took my work for granted and let myself coast.  Instead of building relationships & networking (much like my lack of friends) I rode my bosses coattails.  I did the work, rather than got the work.  Now all these years later,  I'm expected to keep the business going by getting work, and have very few connections, limited experience (just the one job) no confidence and no motivation.   I delegated so much I don't feel I know how to do my job well anymore.  I am rapt with ANXIETY about this... which exacerbates the depression.  I am finally trying to fix it, but because of my mental state, it's next to impossible.  I waited too long, and I fear every day that I will lose my job, which means I'll lose my house, and ruin my family further.  Why would I lose my job?  Because my company is becoming less financially viable as I'm not bringing in the work.  I was supposed to be the future, but instead Ive become the problem, and I don't have the tools to fix it.





A few years ago, I had a major breakdown.  It was work related.  I suddenly couldnt do my job.  My brain wouldn't allow me to... I couldn't concerntrate, or perform.  I took a month off, in bed, feeling like I wanted to kill myself.  Out of nowhere.  It just came on after a conversation with a work-friend who was doing things with his life.  Building his carreer... doing what I knew I should have been doing and didnt'   It FREAKED me out. Prior to this, I didn't really think these things.  I just coasted and collected my paycheck.   Suddenly I got stuck being fixated on the bad... being jealous of others successes... being fearful of pending doom.  That break made me a different person for sure.   A weaker person.   I'm now receiving therapy & psychotherapy, am on meds for clinical depression and just feel very lost.  The first therapist I met with referred to my life (as I described it) as a big pile of shit... that I had to scrape away at it... but it would not go easily.  I was so offended I went elsewhere, but was he right?



The truly frustrating part is that I've done all of this to myself.   I do have a history of depression in my family.  One grandparent had clinical depression and the others were all pretty removed from friends etc.   So maybe it's not all me.  Maybe I'm becoming who I was destin to become.  But that shouldn't be... I should be in control of my own decisions & outcomes.  I always believed that... so what happend.  I think what happened is that I coasted.  I went with the flow, without having direction.    I now look back at decisions I've made and mistakes that seem so stupid.  So wasteful, and I can't recover from them (financially or emotionally).  I feel like I'm always looking back.  Looking to past mistakes that dictate my current state and my future.   I feel stuck because I chose poorly in the past.. that there's no overcoming the past.  



I've realized that there are so many things that I don't like about my life, and have come to ask WHAT IS THE POINT,  REALLY?    Sure there are good spots here and there, but they are coming much less frequently than they once did.  And they feel far outweighed by the bad.  I've become a bad husband in a damaged marriage.  I've isolated myself from friends and haven't made a single new friend in years.  I feel inept in parenting and work.   I don't really ""enjoy"" doing anything anymore.  I don't laugh, and find smiling harder each day.  I have no disposable income to even try to do thinks I might enjoy.  I truly feel trapped.



So here's the real question.  I'd love to understand why people think suicide is bad.  It sounds like a nice out... being done worrying, done angsting, done being disappointed.  Suicidal thoughts seem logical to me.  It's the fear of how, and the though of disappointing & hurting loved ones that have kept me from seriously exploring it.   This thinking sounds greedy, I know it does, but I feel like others would be ultimately better off.  My life insurance policy is an 1M umbrella for my family, so I know my wife can figure things out and eventually find a new husband... one that treats her better, and really loves her.  My kids are young enough that they'll move on. If I can't support my family financially or emotionally, what good am I?



I realize this is all said in my dark thoughts... but it's where I am.  At this moment, I feel like I truly am lost."
I can't carry on,https://www.suicideforum.com/community/threads/i-cant-carry-on.122574/,"Things build up over decades until they become unbearable. I feel like I no longer have a heart. I am not mean, I am just cold and numb inside. I don't see a point to this. I am just existing, not living, and none of it is pleasant. I can't take this anymore."
I just wish I had a diagnosis to excuse this...,https://www.suicideforum.com/community/threads/i-just-wish-i-had-a-diagnosis-to-excuse-this.121980/,"I saw my therapist today... after 16 days... I've really gotten low since I started seeing her in Feb. Because we're digging into a lot of tough things before I am starting DBT...



I had planned on asking her if she thought I was Borderline or something like that... my 'diagnosis' is something along the lines of ""Unspecified disturbance of the personality structure"" if I translate it directly... Apparently that's what they call when I've been harming myself since I was 5, and had suicidal thoughts just as long and can't control my impulses to hurt or kill myself under stress...



But before I ever got to talk about that... she said that thing again she has said so many times... how my 'wrong' behavior makes sense because of how I was brought up.



I feel sick... but according to her I am the result of a life of abuse... She asked me if I thought I could change, both the SH and the anxiety and my avoidance behavior...



I told her I would hope so... but I wasn't sure. I really, really want to live a happy life without all of this.



She also told me something that actually surprised me... she told me no matter what I'd most likely always be afraid... but she hoped to make me considerably less afraid. So... will I always have to look over my shoulder even in broad daylight just in case someone would hurt me??



It hurts... I won't lie. It hurts so bad that it hurts physically. They really broke me.



I don't know if I really had the delusion that I could be completely over everything one day... even if it should take years and years of therapy... but yeah.





Maybe my LDR boyfriend is right... he has been reading up on abused women and rape survivors and what else I have been through... and he told me I was 'amazing' for even trusting him enough to want to meet him.







Why can't it just be a diagnosis that can be medicated and let that be it...





Just... why... why did the world have to be so cruel to me? How can anyone hurt a child???"
My life is Meaningless to Me,https://www.suicideforum.com/community/threads/my-life-is-meaningless-to-me.122402/,"Since last year my life has become meaningless to me for many reasons. I don't really visit this site as much as i use to when i really needed to talk as i felt bad that i am trying to help people, yet in the end i can not help myself. For me i guess i am at current rock bottom or very near it with a somewhat lack of emotions apart from Anger and a little bit of sadness.



Last year i ended up graduating and getting my Bachelors in Information Technology, while this would be an amazing achievement for most people, my feelings were that i failed due to suffering from depression through it all i have forgotten everything i learned and from being so exhausted after 3 years took a big toll on me mentally and physically.



CBT Therapy started last year after almost a year of trouble trying to get help with mental services here where i live. During the time of trying to get the services i had a few troubles with Attempts at Suicide, self harming, Unable to change P-Doctors and bad case management finally broke me to the point of not caring anymore about anything which has ended up sticking with me until now.



My Therapy is every 2 weeks now and we talk about many things to try and find the thing that is causing me to be like this. I find myself telling small lies to him as he asks me why do i bother seeing him if i want to die so badly. The truth is just to keep my family and friends happy as they think things are on the upturn for me when in reality it is no where close. Over the years i have found that talking over problems has very very little affect on me in helping in shape or form.



Medications for me have varied from doing nothing to worse then to somewhat okish, From having bad side affects to not being able to sleep to hearing voices and seeing people. Well the current state of my medications have not been working for along time now and when i ask for a review or a change, i am ignored or saying i haven't given it enough time to kick in. (Been on the same medications for over a year now).



Motivation, Love and mostly Happiness have evaporated from my life. These make any small task feel huge in size and tire me out rather fast while trying to seem happy and hide behind my mask i put up to not show my true self. Things i use to enjoy, now have become a huge struggle to spend more then 5-10 minutes at a time trying to do or work on to the point i give up or become frustrated. Love has become a fantasy for me, which i have lost interest in wanting to be in a relationship even though there is pressure from many people for me to be in one.



There are many other things in my life that have shaped me into the person I am today from my very birth, but i will not go through that as atm this very moment i am numb and really emotionless and couldn't care if i live or die as any hope of getting better slips away while knowing a i am going to have a reaak down within the next month at this rate.



Thank you all. People on SF are wonderful people.



Here's a Little Bunny

‰ÛÜ"
none,https://www.suicideforum.com/community/threads/none.122031/,"The torment is so much, the pain, the hatred, I react to it by abusing drugs and cutting, but I don't have many drugs available and I think cutting on an ongoing basis is like slow suicide. The worthlessness that I feel, the piece of shit that I feel, the most disgusting lowest scum, I just feel the only way to end this is to end my life. 



I don't want to and can't go on like this anymore, the mockery, the abuse, being treated like garbage, made fun by everyone, laughed at by everyone, hated by everyone. I feel it is time to go."
dont wanna be here,https://www.suicideforum.com/community/threads/dont-wanna-be-here.121932/,"Wish i had the strength to take my life. Have no reason to be here, nothing to live for. Love life is shit. Career is shit. No reason to be here..."
S,https://www.suicideforum.com/community/threads/s.121969/,"I've though of suicide more and more and more today. Afraid. Something in me tells me just do it! Do it. Then all your problems will be solved. I want to say no but it's hard, so hard. I am afraid. I feel horrible for my scars from si. I cover them up whenever possible in any social situation. I want to si again, but I've been clean for around a month or more. I can't continue that...."
